SiteId,SampleID,Leg,Hole,Core,Type,Section,Half,top,bot,mbsf,age,ich_accum,tooth_accum,dent_accum
1,1,91,596,3,H,1,W,20,23,15.32,42.270508,112.480569,93.46976862,19.0108004
2,2,91,596,3,H,1,W,25,28,15.37,42.575593,96.03055082,82.52625461,13.50429621
3,3,91,596,3,H,1,W,30,33,15.42,42.880678,89.57507248,77.53136526,12.04370722
4,4,91,596,3,H,1,W,35,38,15.47,43.185763,96.98881739,79.72809565,17.26072174
5,5,91,596,3,H,1,W,40,43,15.52,43.490847,79.22159448,73.27997489,5.941619586
6,6,91,596,3,H,1,W,45,48,15.57,43.795932,73.24845908,62.50535175,10.74310733
7,7,91,596,3,H,1,W,50,53,15.62,44.101017,84.23797434,66.36931311,17.86866122
8,8,91,596,3,H,1,W,55,58,15.67,44.406102,92.06584046,75.01661075,17.04922972
9,9,91,596,3,H,1,W,60,63,15.72,44.711186,57.08856334,48.69318638,8.395376962
10,10,91,596,3,H,1,W,65,68,15.77,45.016271,79.62047725,64.90799776,14.71247949
11,11,91,596,3,H,1,W,70,73,15.82,45.321356,86.77733377,76.8913084,9.886025366
12,12,91,596,3,H,1,W,75,78,15.87,45.626441,93.37018414,71.89504179,21.47514235
13,13,91,596,3,H,1,W,80,83,15.92,45.927805,114.5822019,89.95238279,24.6298191
14,14,91,596,3,H,1,W,85,88,15.97,46.220488,96.00575843,72.35216577,23.65359266
15,15,91,596,3,H,1,W,90,93,16.02,46.513171,126.4690069,100.202367,26.26663989
16,16,91,596,3,H,1,W,95,98,16.07,46.805854,134.0652441,100.3616911,26.96284238
17,17,91,596,3,H,1,W,100,103,16.12,47.098537,78.52395943,65.11742977,13.40652966
18,18,91,596,3,H,1,W,105,108,16.17,47.39122,109.3498594,95.22038317,14.12947621
19,19,91,596,3,H,1,W,110,113,16.22,47.683902,106.3811614,92.19700656,14.18415486
20,20,91,596,3,H,1,W,120,123,16.32,48.268947,112.1981266,92.96416206,19.23396456
21,21,91,596,3,H,1,W,130,133,16.42,48.847895,111.4458865,90.15049417,21.29539232
22,22,91,596,3,H,1,W,135,138,16.47,49.137368,198.3842011,173.8472078,24.53699329
23,23,91,596,3,H,1,W,140,143,16.52,49.42,212.7922582,179.9614527,32.83080556
24,24,91,596,3,H,1,W,145,148,16.57,49.686667,281.1017391,247.5484811,33.55325798
25,25,91,596,3,H,2,W,5,8,16.67,50.22,313.6916816,265.809194,41.74370714
26,26,91,596,3,H,2,W,10,13,16.72,50.486667,297.7784847,258.6494634,39.12902138
27,27,91,596,3,H,2,W,15,18,16.77,50.753333,248.527919,206.4920395,41.2984079
28,28,91,596,3,H,2,W,20,23,16.82,51.02,239.6650073,204.6423272,35.02268015
29,29,91,596,3,H,2,W,25,28,16.87,51.286667,209.013794,174.0393743,34.97441972
30,30,91,596,3,H,2,W,30,33,16.92,51.553333,200.5974329,162.9265535,37.67087943
31,31,91,596,3,H,2,W,35,38,16.97,51.82,176.9586618,151.0047247,25.95393706
32,32,91,596,3,H,2,W,40,43,17.02,52.086667,163.5481857,133.2319367,30.31624906
33,33,91,596,3,H,2,W,45,48,17.07,52.353333,161.8620424,130.3415394,31.520503
34,34,91,596,3,H,2,W,50,53,17.12,52.615,138.0573936,119.2685175,18.78887605
35,35,91,596,3,H,2,W,55,58,17.17,52.865,133.8353384,109.1272759,24.70806248
36,36,91,596,3,H,2,W,60,63,17.22,53.115,200.1080241,139.2456757,60.86234834
37,37,91,596,3,H,2,W,65,68,17.27,53.365,174.7879142,133.1020937,41.68582055
38,38,91,596,3,H,2,W,70,73,17.32,53.615,148.8245102,121.4094688,27.41504135
39,39,91,596,3,H,2,W,75,78,17.37,53.865,160.4138541,119.9133266,40.50052753
40,40,91,596,3,H,2,W,80,83,17.42,54.115,244.5013142,201.7337576,42.7675566
41,41,91,596,3,H,2,W,85,89,17.47,54.39,156.2431616,108.7574949,47.48566677
42,42,91,596,3,H,2,W,90,93,17.52,54.615,156.5340094,119.7024778,36.83153162
43,43,91,596,3,H,2,W,95,98,17.57,54.865,117.4789133,88.67763137,28.80128198
44,44,91,596,3,H,2,W,100,103,17.62,55.115,133.5470085,107.8939109,25.65309769
45,45,91,596,3,H,2,W,105,108,17.67,55.365,115.0627615,86.29707113,28.76569038
46,46,91,596,3,H,2,W,110,113,17.72,55.615,135.3601019,106.5731119,28.78699
47,47,91,596,3,H,2,W,115,118,17.77,55.865,105.9976155,83.39913911,22.5984764
48,48,91,596,3,H,2,W,120,123,17.82,56.115,147.312404,118.8543259,28.45807804
49,49,91,596,3,H,2,W,125,128,17.87,56.365,102.7100501,81.33686047,21.37318961
50,50,91,596,3,H,2,W,130,133,17.92,56.615,105.3432381,90.29420413,15.04903402
51,51,91,596,3,H,2,W,135,138,17.97,56.865,72.6036315,57.62192976,14.98170174
52,52,91,596,3,H,2,W,140,143,18.02,57.115,51.42915559,39.51924588,11.90990972
53,53,91,596,3,H,2,W,145,147,18.06,57.34,42.74997983,31.66665173,11.08332811
54,54,91,596,3,H,3,W,5,8,18.17,57.875714,30.2094522,24.45527083,5.0349087
55,55,91,596,3,H,3,W,10,13,18.22,58.137619,23.41419304,13.37953888,9.198432979
56,56,91,596,3,H,3,W,15,18,18.27,58.399524,22.38511382,14.09433092,8.290782896
57,57,91,596,3,H,3,W,20,23,18.32,58.661429,29.91353868,18.47600918,11.43752949
58,58,91,596,3,H,3,W,25,28,18.37,58.900811,37.51245531,22.66377508,14.84868023
59,59,91,596,3,H,3,W,30,33,18.42,59.130541,25.83252607,18.33276043,7.499765632
60,60,91,596,3,H,3,W,35,38,18.47,59.36027,28.44388259,20.54280409,7.901078497
61,61,91,596,3,H,3,W,40,43,18.52,59.59,28.51236724,22.80989379,5.702473448
62,62,91,596,3,H,3,W,45,48,18.57,59.81973,28.28110695,19.57922789,8.701879062
63,63,91,596,3,H,3,W,50,53,18.62,60.049459,38.92178378,24.84369177,14.078092
64,64,91,596,3,H,3,W,55,58,18.67,60.279189,52.68494611,36.79583538,15.88911073
65,65,91,596,3,H,3,W,60,63,18.72,60.5,39.30212105,27.58043582,11.72168522
66,66,91,596,3,H,3,W,65,68,18.77,60.7,38.8078384,33.05852901,5.749309392
67,67,91,596,3,H,3,W,70,73,18.82,60.9,52.24826259,32.56051147,19.68775112
68,68,91,596,3,H,3,W,75,78,18.87,61.1,47.71516883,32.60536537,15.10980346
69,69,91,596,3,H,3,W,80,83,18.92,61.3075,73.01717162,50.00088926,23.01628236
70,70,91,596,3,H,3,W,85,88,18.97,61.5325,96.04398427,69.92002055,26.12396372
71,71,91,596,3,H,3,W,95,98,19.07,61.9825,70.62634989,48.36369612,22.26265377
72,72,91,596,3,H,3,W,100,103,19.12,62.200937,59.59394067,46.04986324,13.54407742
73,73,91,596,3,H,3,W,105,108,19.17,62.404062,89.76017391,68.11587666,21.64429726
74,74,91,596,3,H,3,W,110,113,19.22,62.607187,97.03006674,71.99004952,25.04001722
75,75,91,596,3,H,3,W,115,118,19.27,62.810312,62.93635875,41.11842105,21.8179377
76,76,91,596,3,H,3,W,120,123,19.32,63.013437,53.87697985,41.60121229,12.27576756
77,77,91,596,3,H,3,W,125,128,19.37,63.216562,63.46218966,51.43777478,12.02441488
78,78,91,596,3,H,3,W,130,133,19.42,63.419687,66.57813538,52.80334875,13.77478663
79,79,91,596,3,H,3,W,135,138,19.47,63.60875,58.35919871,49.79984956,8.559349144
80,80,91,596,3,H,3,W,140,143,19.52,63.8,26.83215779,16.24051656,10.59164123
81,81,91,596,3,H,3,W,145,148,19.57,64,40.17224177,25.20611248,14.96612929
82,82,91,596,3,H,4,W,5,8,19.67,64.4,48.59459852,38.31497191,10.27962661
83,83,91,596,3,H,4,W,10,13,19.72,64.5925,38.51867572,30.09271541,8.425960314
84,84,91,596,3,H,4,W,15,18,19.77,64.7675,44.91315385,28.07072116,16.8424327
85,85,91,596,3,H,4,W,20,23,19.82,64.9425,33.85946804,25.62338122,8.236086819
86,86,91,596,3,H,4,W,25,28,19.87,65.1175,61.76137792,40.14489565,21.61648227
87,87,91,596,3,H,4,W,30,33,19.92,65.3,69.53489966,46.03014485,23.50475482
88,88,91,596,3,H,4,W,35,38,19.97,65.5,71.05835145,45.97893329,25.07941816
89,89,91,596,3,H,4,W,40,43,20.02,65.7,68.43511699,46.70968303,21.72543397
90,90,91,596,3,H,4,W,45,48,20.07,65.9,53.08939437,39.47672915,13.61266522
91,91,91,596,3,H,4,W,55,58,20.17,66.305909,43.32570572,24.75754612,18.56815959
92,92,91,596,3,H,4,W,60,63,20.22,66.510455,30.41414454,21.40254615,9.011598381
93,93,91,596,3,H,4,W,65,68,20.27,66.715,47.77370559,26.64302812,21.13067747
94,94,91,596,3,H,4,W,70,73,20.32,66.919545,39.67778044,22.3187515,17.35902894
95,95,91,596,3,H,4,W,75,78,20.37,67.116786,33.35430315,18.02935305,15.32495009
96,96,91,596,3,H,4,W,80,83,20.42,67.313214,56.14704031,29.04157258,27.10546774
97,97,91,596,3,H,4,W,85,88,20.47,67.509643,53.79562527,28.22065588,25.57496939
98,98,91,596,3,H,4,W,90,93,20.52,67.706071,44.64553823,22.32276912,22.32276912
99,99,91,596,3,H,4,W,95,98,20.57,67.9025,55.80231007,26.78510884,29.01720124
100,100,91,596,3,H,4,W,100,103,20.62,68.1075,86.56605917,45.29619375,41.26986542
101,101,91,596,3,H,4,W,105,108,20.67,68.3325,37.19463181,18.59731591,18.59731591
102,102,91,596,3,H,4,W,110,113,20.72,68.5575,42.19877941,22.07320769,20.12557172
103,103,91,596,3,H,4,W,115,118,20.77,68.7825,41.05286708,12.63165141,28.42121567
104,104,91,596,3,H,4,W,120,123,20.82,69.000938,44.33809557,23.92849602,20.40959955
105,105,91,596,3,H,4,W,125,128,20.87,69.204062,39.16789973,17.23387588,21.93402385
106,106,91,596,3,H,4,W,130,133,20.92,69.407187,32.20310104,15.33481002,16.86829102
107,107,91,596,3,H,4,W,135,138,20.97,69.610312,30.30189667,13.46750963,16.83438704
108,108,91,596,3,H,5,W,5,8,21.09,70.097812,67.36898505,39.71224382,27.65674123
109,109,91,596,3,H,5,W,10,13,21.14,70.306667,29.73670625,13.93908105,15.79762519
110,110,91,596,3,H,5,W,15,18,21.19,70.528889,34.32592465,16.30481421,18.02111044
111,111,91,596,3,H,5,W,20,23,21.24,70.751111,27.33980735,14.11086831,13.22893904
112,112,91,596,3,H,5,W,25,28,21.29,70.973333,43.28088331,24.23729466,19.04358866
113,113,91,596,3,H,5,W,30,33,21.34,71.19,29.06800702,11.80887785,17.25912917
114,114,91,596,3,H,5,W,35,38,21.39,71.404286,24.1045124,12.49863606,11.60587634
115,115,91,596,3,H,5,W,40,43,21.44,71.618571,25.76335878,7.633587786,18.12977099
116,116,91,596,3,H,5,W,45,48,21.49,71.832857,32.40105303,11.13786198,22.27572396
117,117,91,596,3,H,5,W,50,53,21.54,72.045263,44.54145352,21.30243429,23.23901923
118,118,91,596,3,H,5,W,55,58,21.59,72.255789,26.32288974,13.64890579,12.67398395
119,119,91,596,3,H,5,W,60,63,21.64,72.466316,38.50503268,17.6915015,20.81353118
120,120,91,596,3,H,5,W,65,68,21.69,72.676842,38.67961984,12.5933646,26.08625524
121,121,91,596,3,H,5,W,70,73,21.74,72.885833,37.87051198,14.56558153,23.30493045
122,122,91,596,3,H,5,W,75,78,21.79,73.094167,45.89506041,14.94257781,30.9524826
123,123,91,596,3,H,5,W,80,83,21.84,73.3025,36.56201591,18.28100796,18.28100796
124,124,91,596,3,H,5,W,85,88,21.89,73.510833,32.54388175,10.49802637,22.04585538
125,125,91,596,3,H,5,W,95,98,21.99,73.9275,22.01276741,8.004642693,14.00812471
126,126,91,596,3,H,5,W,100,103,22.04,74.135833,36.4661031,8.840267418,27.62583568
127,127,91,596,3,H,5,W,105,108,22.09,74.344167,46.47009513,16.40121004,30.06888508
128,128,91,596,3,H,5,W,110,113,22.14,74.5525,28.79312509,9.597708363,19.19541673
129,129,91,596,3,H,5,W,115,118,22.19,74.760833,30.59848992,12.40479321,18.19369671
130,130,91,596,3,H,5,W,120,123,22.24,74.969167,33.3508028,11.43456096,21.91624184
131,131,91,596,3,H,5,W,125,128,22.29,75.1775,28.5179574,12.47660636,16.04135104
132,132,91,596,3,H,5,W,130,133,22.34,75.38875,26.69170164,10.12443855,16.56726309
